#,Department,Phase,KPI / Feature Name,Rationale / Definition,Prototype Status,Dashboard Widget / UX,References,Flyout Detail (Right Panel),Source ? Fields,RAG / Thresholds,Source System & Access,Frequency,Personas,Decision,Prototype Trace,Drill-down Depth,Formula
?  ORG PULSE — OVERVIEW,,,,,,,,,,,,,,,,,
  ?  Org Pulse Dashboard,,,,,,,,index.html,,,,,,,,,
1,Org Pulse,P1,Engineering Summary Card (index.html ? Engineering dept card),Rollup of Engineering unit health visible on Org Pulse home. Entry point to DM dashboard.,Live – v1,"Dept card: RAG badge + 3 capsules (Unit RAG, Avg P360, Escalations). Click?dm-home.html",Built in: Org Pulse | See: P360 Score; Escalation Age (PMO),"Right panel: Unit RAG breakdown by project, Avg P360 score with trend, open escalation list with severity. Links to dm-home.html for full DM view.","P360 SharePoint + Jira ?
1. composite RAG
2. avg P360
3. escalation count",Green: all green | Amber: any amber | Red: any red,"P360 SharePoint/Jira — P360 SharePoint, Jira Read",Daily,"Primary: Leadership | Secondary: DM, PMO",Pending Review,Deferred,—,? Source mapping not yet provided for Org Pulse. Awaiting team's Pulse_Data Mapping update for this department.
52,Human Resources (HR),P1,KPI & OKR Alignment + Health Grid (Planned – v2 (HR Performance screen); KPI Health Grid was on hr.html (Live-v1) ? KPI & OKR Alignment + Health Grid),% of employees with documented KPIs/OKRs linked to dept objectives. Merged with KPI Health Grid by Department (cross-dept RAG view of KPI health).,Live – v1,Alignment % per dept; grid overlay showing RAG per dept × KPI category,Built in: Human Resources (HR) | See: Appraisal (merged); L&D Completion,"1. Two views in flyout: Alignment view — employees missing KPIs, flagged with manager name
2. Grid view — dept × KPI category (Salary/Benefits/Training/Utilisation/Performance) with RAG symbol; click any cell to see underlying metric value and recommended action","Source list: PMS. Fields:
1. PMS.employee name(id) ? employee_id (Raw)
2. PMS.KPI Approval -DM && KPI approval - HR ? kpi_set_flag (Raw)
3. PMS.OKR Approval -DM && OKR approval - HR ? okr_linked_flag (Raw).",Green: ?95% aligned | Amber: 85–94% | Red: <85%,"PMS / Keka / LMS — PMS, Keka, LMS, Finance Read",Quarterly,"Primary: HR Head | Secondary: CEO, DM",Pending Review,Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
53,Human Resources (HR),P1,Appraisal Cycle Adherence (Appraisals tile (Live-v1); full view Planned-v2 ? Appraisal Cycle Adherence),Merged metric: manager submission rate (Appraisal Cycle Adherence) + overall completion % (Appraisals Completion HR View from kpi-people.html). Single view of appraisal health.,Live – v1,KPI tile: overall completion %; click?flyout with manager-level breakdown,Built in: Human Resources (HR) | See: KPI & OKR Alignment; Manager Input Submission (removed — absorbed here),"1. Manager-level pending list: Manager
2. Appraisee count
3. Due Date
4. Submitted count
5. Overdue count
6. Days overdue
7. Overdue managers sorted by age
8. Cycle comparison: this cycle vs prior year same period
9. Escalation flag for managers >14d overdue","Source list: Excel. Fields:
1. Excel.automated n testing phase ? manager_id (Raw)
2. Excel ? appraisee_id (Raw)
3. Excel ? appraisal_due_date (Raw)
4. Excel ? submission_date (Raw)
5. Excel ? status (Raw).",Green: ?95% submitted by due date | Amber: 85–94% | Red: <85%,PMS,Per appraisal cycle,"Primary: HR Head | Secondary: DM, Manager",Pending Review,Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
54,Human Resources (HR),P2,Compensation Band Adherence (Planned – v2 (HR Compensation screen) ? Compensation Band Adherence),% of employees compensated within approved salary band. Out-of-band compensation creates equity issues and budget overruns.,Live - v2,Adherence % per dept; out-of-band employees listed with delta vs band,Built in: Human Resources (HR) | See: Budget vs Offer (TA); Resource Utilization,"1. Employee-level detail: Employee (anonymised for privacy)
2. Current CTC
3. Band (Min/Mid/Max)
4. Delta vs mid
5. Approval status
6. Unapproved exceptions flagged red
7. Dept summary: in-band vs exceptions count
8. Trend vs prior review cycle","Source list: Excel. Fields:
1. Excel ? employee_id (Raw)
2. Excel ? current_ctc (Raw)
3. Excel ? approved_band_min (Raw)
4. Excel ? approved_band_max (Raw)
5. Excel ? dept (Raw).",Green: 100% within band | Amber: 1–2 exceptions with approval | Red: any unapproved exception,"HRMS / Finance — HRMS, Finance Read",Quarterly,Primary: HR Head | Secondary: Finance Head,Approved (built in v2.0),Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
  ?  Workforce Health,,,,,,,,"1. Planned – v2
2. Golden Ratio + Attendance Live-v1 on kpi-people.html",,,,,,,,,
55,Human Resources (HR),P1,Golden Ratio (Golden Ratio tile (unit); hr.html Workforce view (org-level Planned-v2) ? Golden Ratio),Ratio of billable to total FTEs organisation-wide. HR-level view (vs Engineering's unit-level view on kpi-people.html).,Live – v1,KPI tile at unit level (Live); org-level ratio card (Planned-v2),Built in: Human Resources (HR) | See: Team Utilization (Engineering); Resource Utilization,"1. Org-level breakdown: billable vs non-billable count per dept
2. Trend: ratio over last 6 months
3. Comparison to target ratio
4. Depts below threshold highlighted
5. Action: which depts need rebalancing","Source list: Keka, Resource Management / Keka. Fields:
1. Keka.employee id ? employee_id (Raw)
2. Resource Management / Keka.state ? billable_flag (Raw)
3. Keka.department ? dept (Raw).",Green: ?1:8 | Amber: 1:6–1:7.9 | Red: <1:6,Keka,Monthly,"Primary: HR Head | Secondary: DM, Finance",Pending Review,Deferred,—,employee id | state | department
56,Human Resources (HR),P1,Attendance Pattern & WFH Productivity (Attendance tile (unit); hr.html org view Planned-v2 ? Attendance Pattern & WFH Productivity),Daily attendance rate. Detects chronic absenteeism and flags WFH days correlating with lower output.,Live – v1,KPI tile: attendance %; click?detailed calendar heat map,Built in: Human Resources (HR) | See: 1-on-1 Adherence; Engagement Participation,"1. Calendar heat map: attendance per employee per day for current month
2. Colour: Present/WFH/Leave/Absent
3. Top 5 absentees by days absent
4. WFH vs office split per dept
5. Chronic absenteeism flag if >3 unplanned absences in a month","Source list: Keka. Fields:
1. Keka.employee id ? employee_id (Raw)
2. Keka.DATE ? date (Raw)
3. Keka.attendance[] ? attendance_status (Raw)
4. Keka.location ? work_location (Raw).",Green: ?96% | Amber: 92–95% | Red: <92%,Keka,Daily,Primary: HR Head | Secondary: DM,Pending Review,Deferred,—,employee id | DATE | attendance[]
57,Human Resources (HR),P2,Resource Utilization (Over/Under) (Planned – v2 (HR Workforce Health screen) ? Resource Utilization (Over/Under)),% of capacity used on billable work per employee and team. Flags both over-utilization (burnout) and under-utilization (revenue leakage).,Live - v2,Utilization gauge per team; over/under distribution bar; individual alerts for >110% or <60%,Built in: Human Resources (HR) | See: Golden Ratio; Team Utilization (Engineering); Bench Heatmap (PMO),"1. Employee-level table: Name
2. Dept
3. Allocated hrs
4. Billed hrs
5. Utilization %
6. Over/Under flag
7. Sort by utilization extremes (highest and lowest)
8. Team average comparison
9. Forward 4-week utilization projection","Source list: Resource Management / Keka. Fields:
1. Resource Management / Keka.employee id ? employee_id (Raw)
2. Resource Management / Keka.Assignment ? allocated_hrs (Raw)
3. Resource Management / Keka.Assignment * Bill Rate ? billed_hrs (Raw)
4. Resource Management / Keka.Department ? dept (Raw).",Green: 75–100% | Amber: 60–74% or 100–110% | Red: <60% or >110%,"Resource Mgmt / Keka — Resource Management, Keka",Weekly,"Primary: HR Head | Secondary: Finance Head, DM",Approved (built in v2.0),Deferred,—,employee id | Assignment | Assignment * Bill Rate
  ?  DEFERRED — Human Resources (HR) (out of scope for current build cycle),,,,,,,,,,,,,,,,,
58,Human Resources (HR),P3,Succession Gap (—),Moved to deferred — requires succession planning process to be formalised first.,Deferred,—,Built in: Human Resources (HR) | See: —,No flyout — deferred,Not mapped in Pulse HR_Done.,—,HRMS,Quarterly,Primary: HR Head | Secondary: —,Deferred,Deferred,—,
59,Human Resources (HR),P3,Probation Review Completion (—),Moved to deferred — will add when onboarding process is standardised.,Deferred,—,Built in: Human Resources (HR) | See: —,No flyout — deferred,Not mapped in Pulse HR_Done.,—,HRMS,Quarterly,Primary: HR Head | Secondary: —,Deferred,Deferred,—,
60,Human Resources (HR),P3,Policy Acknowledgement Completion (—),Moved to deferred — compliance baseline to be established first.,Deferred,—,Built in: Human Resources (HR) | See: —,No flyout — deferred,Not mapped in Pulse HR_Done.,—,HRMS,Quarterly,Primary: HR Head | Secondary: —,Deferred,Deferred,—,
61,Human Resources (HR),P3,Career Progression Plan Coverage (—),Requires structured career framework to exist first.,Deferred,—,Built in: Human Resources (HR) | See: —,No flyout — deferred,Not mapped in Pulse HR_Done.,—,HRMS,Quarterly,Primary: HR Head | Secondary: —,Deferred,Deferred,—,
62,Human Resources (HR),P3,Skip-level Feedback Coverage (—),Low signal-to-effort ratio at current org maturity.,Deferred,—,Built in: Human Resources (HR) | See: —,No flyout — deferred,Not mapped in Pulse HR_Done.,—,HRMS,Quarterly,Primary: HR Head | Secondary: —,Deferred,Deferred,—,
?  PMO,,,,,,,,,,,,,,,,,
  ?  Engagement Health,,,,,,,,Planned – v2 (PMO module),,,,,Secondary: Planned – v2,,,,
63,PMO,P1,"Engagement Health — P360 Portfolio (Engagement Health ? P360 Portfolio Avg, P360 Portfolio)",PMO-level aggregation of P360 scores across all accounts and DMs. Enables PMO to identify systemic quality issues cutting across units. Data sourced from Engineering P360.,Live - v2,Portfolio P360 heatmap: accounts as rows × 6 dimensions as columns; composite score per account; RAG per cell,Built in: PMO | See: P360 Score — Composite (Engineering); CSAT Overdue Nudge,"1. Account-level drill: composite score with 6-dimension bars
2. 4-sprint trend
3. DM responsible
4. Last updated date
5. Data accuracy flag
6. Action items from last P360
7. Link to Engineering dm-home for DM-level detail","Source list: Engineering Department. Fields:
1. Engineering Dept ? P360 Portfolio Avg (Cleaned: Avg of scores across accounts)
2. Engineering Dept ? P360 Portfolio (composite & dimension scores, full portfolio, no unit filter).",Green: portfolio avg ?8 | Amber: 7–7.9 | Red: <7 OR any account <6,P360 SharePoint Read,Monthly,"Primary: PMO Head | Secondary: CEO, DM",Approved (built in v2.0),Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
64,PMO,P1,Engagement Health — CSAT (Engagement Health ? CSAT),"Actionable nudge: shows which accounts have CSAT surveys overdue and by how many days. PMO acts on it — not a score report, a call to action.",Live - v2,"Overdue list with account name, milestone date, days CSAT overdue, and responsible DM; sorted by days overdue descending",Built in: PMO | See: P360 Score Portfolio; At-Risk Account Flag,"1. Account-level CSAT status: Account
2. Milestone
3. CSAT Due Date
4. Days Overdue
5. DM Responsible
6. Last CSAT Score (for context)
7. Action buttons: Send Reminder to DM / Mark Triggered / Escalate
8. Historical CSAT response rate per account","Source list: SharePoint — CSAT List. Fields:
1. CSAT List.Client ? Client
2. CSAT List.Project ? Project
3. CSAT List.Score/Status ? CSAT Score/Status
4. CSAT List.Nudges ? AM Reminders (Raw — nudges trigger reminder runs for AM).",Green: ?95% triggered within SLA | Amber: 85–94% | Red: <85% OR any trigger >7d late,"CRM / Survey — CRM, Survey Tool",Per milestone,"Primary: PMO Head | Secondary: Account Manager, DM",Approved (built in v2.0),Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
65,PMO,P1,Engagement Health — SOW Coverage (Engagement Health ? SOW Coverage),"% of active engagements backed by a current, signed SOW. Hygiene guardrail — unbacked engagements create revenue recovery risk and legal exposure.",Live - v2,Coverage % gauge; list of engagements without active SOW; days since last SOW expiry,Built in: PMO | See: Billing Data Accuracy; Revenue Projections,"1. Engagement list: SOW ID
2. Account
3. Signed Date
4. Expiry Date
5. Days Until Expiry (or days expired)
6. Value
7. Renewal Status
8. DM Responsible
9. Action: initiate renewal from flyout
10. Engagements with no SOW flagged red at top","Source list: not yet mapped in Pulse PMO_Done (Insight row exists but Source/Exact column blank). Placeholder fields from original spec: 1. SOW Repository ?
 sow_id, 2. ? engagement_id, 3. ? signed_date, 4. ? expiry_date, 5. ? renewal_status.",Green: 100% coverage | Amber: 1 engagement without SOW | Red: ?2 or any expired >7d,SOW Repository / Legal,Monthly,"Primary: PMO Head | Secondary: Legal, Finance",Approved (built in v2.0),pmo.html,L2,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
66,PMO,P1,Mining & Escalations — All (Mining and escalations ? All),Portfolio-level view of all open escalations by age. Temporary home in Engineering (DM view); PMO sees full portfolio. Permanent home: Account Management module.,Live - v2,"Escalation age distribution: count by age bucket (<7d, 7–14d, >14d); sorted by age descending",Built in: PMO | See: At-Risk Account Flag; Account Escalations Register (Engineering),"1. Escalation list: Account
2. Severity
3. Open Date
4. Age in days
5. DM Responsible
6. Last Update
7. Resolution ETA
8. Escalations >14d without update flagged critical
9. Filter by severity
10. Export to action log","Source list: Account Management Tab 1 (Pulse mapping defers to AM module). Fields:
1. Account Risk Register.Account ? Account
2. Account Risk Register.Escalation ? Escalation
3. Account Risk Register.AM ? AM
4. Account Risk Register.Due date ? Due date
5. Account Risk Register.Status ? Status.",Green: 0 open >14d | Amber: any 7–14d | Red: any >14d OR unupdated >7d,CRM / Helpdesk Read,Daily,"Primary: PMO Head | Secondary: Account Manager, CEO",Approved (built in v2.0),Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
67,PMO,P1,Engagement Health — At Risk Accounts (Engagement Health ? At risk accounts),"Single composite risk flag per account — red if any one of P360, CSAT, SOW, or escalation is in red state. PMO's early warning list requiring proactive action.",Live - v2,Risk count tile: number of at-risk accounts; clicking opens list sorted by risk severity,Built in: PMO | See: P360 Portfolio; CSAT Nudge; SOW Coverage; Open Escalation Age,"1. At-risk accounts list: Account
2. Risk factors (which indicators are red)
3. Overall risk level
4. DM Responsible
5. Recommended action
6. Days since last PMO review of this account
7. No additional flyout — the list IS the detail view","Source list: composite (Pulse Source/Exact column blank for this Insight). Derived from: 1. Engineering Dept ?
 P360 score, 2. SharePoint CSAT List ? CSAT status, 3. SOW Repository ? SOW status, 4. Account Risk Register ? open escalations. Logic: Red if any indicator red; Amber if any amber; else Green.",Red account: any one indicator in red state | Amber: any indicator in amber | Green: all indicators green,"All PMO Sources — P360 SharePoint, CRM, SOW Repository",Daily,"Primary: PMO Head | Secondary: CEO, DM",Approved (built in v2.0),Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
  ?  Financials,,,,,,,,"1. PMO owns this data
2. Engineering Financials tab shows DM-level subset",,,,,Secondary: Planned – v2,,,,
68,PMO,P1,Financials — YTD Billing (Financials ? YTD Billing; Engagement Health ? Financial Outlook),Full portfolio YTD billing vs plan across all DMs and accounts. Primary home of billing data. Engineering Financials tab calls a DM-level subset from here.,Live - v2,"Portfolio billing table: all accounts, invoiced vs plan, gap; sorted by gap (largest negative first)",Built in: PMO | See: Revenue Projections M+1/M+2/M+3; Billing Data Accuracy,"1. Account-level YTD detail: Account
2. DM
3. Invoiced YTD
4. Plan YTD
5. Gap
6. % of Plan
7. Monthly bar chart
8. Invoice table with status
9. Action owner for gap accounts
10. Portfolio summary: total invoiced, total plan, overall gap","Source list: AM-DM Dashboard. Fields:
1. AM-DM Dashboard.Actuals ? YTD Billing (Cleaned: Sum of actuals till YTD)
2. AM-DM Dashboard.Actuals ? Financial Outlook (Cleaned: Sum of actuals till YTD).",Green: portfolio ?100% vs plan | Amber: 95–99% | Red: <95%,ERP / Finance Read,Monthly,"Primary: PMO Head | Secondary: Finance Head, CEO",Approved (built in v2.0),Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
69,PMO,P1,"Financials — Portfolio Forecast & Trend (M+1 / M+2 / M+3) (Financials ? M+1 Forecast, M+2 Forecast, M+3 Forecast, Trend, Portfolio forecast)",3-month forward revenue projection by account. Monthly buckets on a rolling 3-month horizon. Enables early detection of future billing shortfalls.,Live - v2,"3-column projection table: M+1, M+2, M+3 per account; confidence shade per cell; portfolio total row",Built in: PMO | See: YTD Billing Forecast; SOW Coverage,"1. Account-level projection: Contracted value
2. Milestone dates and confirmation status
3. % milestone confirmed
4. Projected invoice M+1/M+2/M+3
5. Scenario toggle: Base/Upside/Downside
6. Confidence level per account
7. DM responsible
8. Alert if M+1 projection <80% of plan","Source list: Projections, AM-DM Dashboard, Allocation. Fields:
1. Projections.Projection Amount ? M+1 Forecast (Cleaned: Sum of amount for M+1)
2. Projections.Projection Amount ? M+2 Forecast (Cleaned: Sum of amount for M+2)
3. Projections.Projection Amount ? M+3 Forecast (Cleaned: Sum of amount for M+3)
4. AM-DM Dashboard.Targets ? Trend.Plan (Cleaned: Sum of Targets YTD)
5. AM-DM Dashboard.Actuals ? Trend.Actual (Cleaned: Sum of actuals till YTD)
6. Allocation.Resource Cost ? Trend.COGS (Cleaned: Sum of resource cost)
7. Projections.Projection Amount ? Trend.Forecast (Cleaned)
8. Projections.Client ? Portfolio forecast.Account (Raw)
9. AM-DM Dashboard.Targets ? Portfolio forecast.YTD Plan (Cleaned: Sum of Targets YTD)
10. AM-DM Dashboard.[Targets, Actuals] ? Portfolio forecast.YTD Variance (Formula: YTD Targets ? YTD Actuals)
11. Projections.Projection Amount ? Portfolio forecast.M+1
12. Projections.Projection Amount ? Portfolio forecast.M+2
13. Projections.Projection Amount ? Portfolio forecast.M+3.",Green: projected ?95% of plan | Amber: 80–94% | Red: <80%,"ERP / SOW / Resource — ERP, SOW Repository, Resource Management",Monthly,"Primary: PMO Head | Secondary: Finance Head, DM",Approved (built in v2.0),Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
70,PMO,P1,Financials — Billing Data Accuracy (Financials ? Billing Data Accuracy (NOT mapped in Pulse PMO_Done)),"% of invoices issued without errors in rate, hours, or missing PO. Inaccurate billing damages client trust and delays cash collection.",Live - v2,Accuracy % gauge; flagged invoice count with error type badge,Built in: PMO | See: YTD Billing Forecast; SOW Coverage; AR Status (Finance),"1. Invoice-level errors: Invoice ID
2. Account
3. Error Type (rate mismatch/hours mismatch/missing PO/wrong entity)
4. Invoice Amount
5. Resolution Status
6. Responsible party
7. Days open
8. Resolution trend: errors per month
9. DM responsible per flagged account","Source list: not in Pulse PMO_Done. Placeholder fields from original spec: 1. ERP/Finance ?
 invoice_id, 2. ? account, 3. ? invoiced_amount, 4. ? approved_rate, 5. ? logged_hrs, 6. Resource Mgmt ? contracted_rate.",Green: ?99% accuracy | Amber: 97–98% | Red: <97% OR any disputed invoice,"ERP / Finance, Resource Management",Monthly,Primary: PMO Head | Secondary: Finance Head,Approved (built in v2.0),Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
  ?  Bench & Resource,,,,,,,,Planned – v2 (PMO module),,,,,Secondary: Planned – v2,,,,
71,PMO,P1,"Utilization — On Bench, Utilized, Over Utilized (Utilization ? On Bench, On bench, Utilized, Over Utilized)","Current-state view of all bench resources: who is idle, how long they have been on bench, and their skill sets. Replaces the old Bench Strength gauge metric.",Live - v2,"Heatmap: employees as rows, bench duration buckets as columns (<1wk, 1–2wk, 2–4wk, >4wk); colour intensity = skill demand score; filter by skill set",Built in: PMO | See: Upcoming Roll-offs; Bench (Engineering People & Resource),"1. Per-person profile card: Name
2. Skills (tagged)
3. Days on bench
4. Last project
5. Last project end date
6. Potential matching open positions (from pipeline)
7. DM responsible
8. Action: initiate redeployment conversation from flyout","Source list: Allocation, All+ Projection, Resource Master. Fields:
1. Allocation.Status ? On Bench count (Cleaned: Sum where Status = Bench)
2. All+ Projection.Emp ID ? emp ID (Clean: filter Status = Bench+Buffer for On bench / Billed for Utilized / Billed & Assignment>100% for Over Utilized)
3. All+ Projection.Resource Name ? emp Name (same filters)
4. Resource Master.Skills ? Skill (same filters)
5. All+ Projection.Assignment ? Client Util (Clean)
6. All+ Projection.Cost Assignment ? Internal Util (Clean)
7. derived ? days on bench
8. All+ Projection.Notes ? Notes (Clean).",Green: bench ?5% of workforce AND avg <14d | Amber: 5–10% or avg 14–21d | Red: >10% or avg >21d,"Keka / Resource Mgmt — Keka, Resource Management",Weekly,"Primary: PMO Head | Secondary: HR Head, Finance",Approved (built in v2.0),Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
72,PMO,P1,"Utilization — Offers Rolled (30 / 60 / 90) & Roll off (Utilization ? Offers rolled - 30, Offers rolled - 60, Offers rolled - 90, Roll off)","Forward-looking view of who comes off their current projects in the next 30, 60, and 90 days. Enables PMO to start redeployment before bench happens.",Live - v2,Timeline view: 3 columns (30d/60d/90d); each column lists people rolling off with skill tags; count badge per column,Built in: PMO | See: Bench Heatmap; Resource Projection Gap (Engineering),"1. Per-person roll-off detail: Name
2. Current Project
3. Project End Date
4. Days Until Roll-off
5. Skills
6. Utilization % on current project
7. Open pipeline deals needing these skills
8. Recommended action: Internal redeployment / New deal pitch / Extension conversation","Source list: not yet mapped in Pulse PMO_Done (all 4 Insight rows exist but Source/Exact column blank). Placeholder fields from original spec: 1. Resource Mgmt ?
 Employee, 2. ? Project, 3. ? Roll off date, 4. Resource Master.Skills ? Skill, 5. Resource Mgmt ? Reallocation status. Plus Offers Rolled 30/60/90 — counts of offers rolled in those windows.",Informational — no RAG threshold; flag if >20% of workforce rolling off in any 30d window,"Resource Mgmt / CRM — Resource Management, CRM Read",Weekly,"Primary: PMO Head | Secondary: HR Head, DM",Approved (built in v2.0),Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
  ?  DEFERRED — PMO (out of scope for current build cycle),,,,,,,,,,,,,,,,,
73,PMO,P3,Financials — Revenue at Risk (Deferred) (—),Deferred PMO metric: Revenue at Risk.,Deferred,—,Built in: PMO | See: —,No flyout — deferred,— (Deferred KPI; not in Pulse PMO_Done),—,—,—,Primary: PMO Head | Secondary: —,Deferred,Deferred,—,
?  FINANCE,,,,,,,,,,,,,,,,,
  ?  Revenue,,,,,,,,"1. finance.html ? Revenue vs Plan card (Live-v1)
2. Revenue Variance Planned-v2",,,,,,,,,
74,Finance,P1,"Revenue vs Plan (YTD) (Finance ? Revenue - KPI Cards, Revenue - Graph)",YTD revenue actuals versus plan. Primary financial health indicator for Finance Head and leadership.,Live – v1,Bar chart: YTD actual vs plan with gap annotation; account-level breakdown below,Built in: Finance | See: Revenue Variance MoM; YTD Billing Forecast (PMO),"1. Account-level YTD drill: Account
2. Invoiced YTD
3. Plan YTD
4. Gap
5. % of Plan
6. Trend vs prior 2 quarters
7. Root cause toggle: Delivery shortfall vs Billing delay
8. DM responsible per account
9. Portfolio total summary row","Source list: AM-DM Dashboard, Projections. Fields:
1. AM-DM Dashboard.Actuals ? YTD Revenue
2. AM-DM Dashboard.Actuals ? MOM
3. Projections.Projected amount ? Qrtr Forecast
4. AM-DM Dashboard.Actuals ? Top account
5. AM-DM Dashboard ? Revenue vs Planned.",Green: actual ?100% of plan | Amber: 95–99% | Red: <95%,ERP / Finance Read,Monthly,"Primary: Finance Head | Secondary: CEO, PMO",Pending Review,Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
75,Finance,P2,Revenue Variance — Month on Month (Finance ? Revenue - Portfolio forecast - Table),Month-by-month revenue variance vs budget. Distinguishes between delivery shortfall and billing delays to identify the correct intervention.,Live - v2,"Variance table: account × month with actual, budget, variance %; RAG per cell; trend line",Built in: Finance | See: Revenue vs Plan YTD; Billing Data Accuracy (PMO),"1. Account-month drill: Invoice details for that period
2. Delivery milestone status
3. Billing delay root cause if applicable
4. Variance classification: Delivery / Billing / Scope / Other
5. Action owner
6. Trend: consecutive months in negative variance flagged","Source list: Projections, AM DM Dashboard. Fields:
1. Projections.Client Name ? Account
2. Projections ? AM
3. AM DM Dashboard ? YTD - Plan
4. Projections ? YTD Var
5. Projections.Month, Projected Amount ? M+1
6. Projections.Month, Projected Amount ? M+2
7. Projections.Month, Projected Amount ? M+3.",Green: variance ?2% | Amber: 2–5% | Red: >5%,"ERP / Finance — ERP, Finance Planning Tool",Monthly,"Primary: Finance Head | Secondary: PMO, CEO",Approved (built in v2.0),Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
  ?  Cost,,,,,,,,"1. finance.html ? OpEx Variance card (Live-v1)
2. others Planned-v2",,,,,,,,,
76,Finance,P1,Budget vs Actuals — Department Heatmap (Finance ? Department Spent (M / M+1 / M+2)),Cross-dept budget vs actual spend in a heatmap. Enables Finance Head to spot which departments are running over budget at a glance. User requested dept-wise visibility.,Live – v1,Heatmap: dept rows × cost category columns (Headcount/Infra/T&E/Training/Other); RAG per cell; click any cell?drill,Built in: Finance | See: OpEx Variance YTD; Gross Margin Deviation,"1. Department drill: Dept name
2. Cost category
3. Approved budget
4. Actual YTD
5. Remaining
6. Projected full-year
7. Variance %
8. Budget owner
9. Unapproved spend flagged red
10. Export to Finance report","Source list: Projections, Team HC. Fields:
1. Projections.State, ResourceCost ? Billed Cost
2. Projections.State, ResourceCost ? Bench Cost
3. Projections.State, ResourceCost ? Buffer Cost
4. Projections.State, ResourceCost ? Contractor Cost
5. Team HC ? All teams.",Green: actual ?100% of budget per cell | Amber: 100–105% | Red: >105%,"ERP / Finance, Budget Tool",Monthly,"Primary: Finance Head | Secondary: CEO, Dept Heads",Pending Review,Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
77,Finance,P1,"OpEx Variance (YTD) (Finance ? Opex By Category, Cost - KPI Cards (OPEX))",YTD operating expenditure vs approved budget. Flags cost lines running over budget before full-year overshoot is unrecoverable.,Live – v1,Variance bar per cost category: Headcount/Infra/T&E/Training/Other; over-budget bars highlighted red,Built in: Finance | See: Budget vs Actuals Heatmap; Gross Margin Deviation,"1. Cost line-item drill: Line item
2. Approved budget
3. Actual YTD
4. Remaining
5. Projected full-year
6. Variance %
7. Owner
8. Corrective action logged
9. Sort by variance (highest overage first)","Source list: Expense Master. Fields:
1. Expense Master ? OPEX
2. Expense Master ? Opex By Category.",Green: actual ?100% | Amber: 100–105% | Red: >105%,ERP / Finance Read,Monthly,"Primary: Finance Head | Secondary: CEO, Dept Heads",Pending Review,Deferred,—,"? Source fields documented (Col J) but no computation formula specified. Please define the calculation equation — e.g. how to derive this metric from the mapped fields. Without this, the backend aggregation cannot be built."
